actual,predicted
38897.0,37968.496
211.0,672.94415
117699.0,203361.95
701.0,-679.4621
3276.0,2700.034
1701.0,448.69025
63229.0,39656.445
8670.0,7903.0654
352411.0,299150.16
318.0,1225.6824
1112.0,1796.7878
81965.0,157771.98
25516.0,33882.53
7628.0,17674.47
614.0,1916.4558
10933.0,10760.839
633.0,2168.0183
2462.0,3640.2722
1846.0,1871.0574
6113.0,3361.9402
8898.0,5594.093
5168.0,1919.3894
841.0,334.55353
642.0,2500.0496
610.0,519.5887
56380.0,80268.76
136216.0,98083.17
23954.0,24111.738
241.0,2566.909
245703.0,372645.66
493.0,7070.3115
95194.0,84180.2
1414.0,-1054.3918
904.0,2603.8816
138435.0,155783.69
1274.0,869.7801
817.0,4344.327
7140.0,5947.081
1839.0,2735.5457
7557.0,10865.339
574.0,3780.9011
920.0,1021.75665
1128.0,2750.1628
790.0,708.3934
8264.0,6432.909
1375.0,1082.0105
2313.0,2268.9167
45137.0,43495.016
2683.0,1412.2605
1786.0,1412.1394
5031.0,12348.522
24561.0,38835.73
241.0,-346.74725
618.0,556.80743
71288.0,70862.445
4285.0,5588.5225
943.0,1676.7683
52445.0,65896.59
1454.0,3023.366
5146.0,2256.8113
871.0,1345.3035
173856.0,175026.78
52069.0,66701.51
26809.0,42718.973
20484.0,11885.845
7902.0,7903.1943
4283.0,6716.3115
3868.0,3997.7917
48466.0,38348.047
11913.0,13080.796
133101.0,274637.3
1744.0,3312.53
1179.0,4514.8154
1420.0,3591.5847
12146.0,20324.742
1686.0,3570.452
177.0,384.9129
13891.999999999996,5102.718
1007.0,1311.1628
47880.0,65735.69
106777.0,156825.25
1269.0,2183.3113
87744.0,101236.31
4351.0,155.409
2150.0,3171.1042
23124.0,30873.867
2897.0,2304.534
773.0,2540.4675
89463.0,82447.51
2521.0,6869.468
50288.0,36173.17
16524.0,16601.625
2683.0,4526.124
1376.0,-7.712099
5892.0,2520.7097
519.0,714.366
766.0,1510.4363
3185.0,1846.491
732.0,2337.9128
128842.0,96498.71
875.0,1513.4519
21209.0,16335.247
1464.0,2124.1277
2672.0,5257.2725
23187.0,51944.652
761.0,-425.16522
1568.0,2862.3699
29746.0,24671.6
870.0,1672.6511
72145.0,96120.836
10907.999999999996,7408.882
2465.0,1465.6433
595.0,1960.2527
759.0,1711.4089
1230.0,4749.659
48.0,365.04962
2204.0,3191.0066
103906.0,184845.22
1080.0,4384.7764
3264.0,2713.9011
642.0,899.05743
26897.0,28311.717
2595.0,1968.4988
0.0,828.0848
1545.0,1104.9714
218023.0,175818.5
5011.0,6893.0537
5865.0,3162.7214
0.0,-2450.8333
561.0,-667.3254
24493.0,26020.938
2283.0,5314.8154
2516.0,3150.6667
2231.0,4193.784
2237.0,903.116
1199.0,2993.3074
0.0,-2188.841
505.0,965.93243
28838.0,30855.715
232222.0,354701.3
22834.0,54765.977
6543.0,8238.581
299721.0,186420.2
676.0,802.31134
104400.0,91405.336
80142.0,87241.875
1373.0,5144.5693
1114.0,379.36212
2390.0,4003.4714
1808.0,1931.9753
38438.0,42706.562
108462.0,84776.91
3323.0,4452.038
149727.0,144072.52
86398.0,121178.625
2071.0,4287.003
455807.0,566150.25
6652.0,7609.3
30592.0,29172.283
5812.0,4237.2217
1410.0,2107.9167
1590.0,2153.5144
473112.00000000006,291292.66
73110.0,41557.78
460.0,988.1512
17802.0,14908.407
668.0,1323.8855
725.0,4667.4756
154523.0,142615.8
20686.0,38973.273
45137.0,23825.53
14452.000000000004,9679.778
1406.0,2481.616
7914.0,8163.8193
2242.0,5439.7803
147564.0,126530.55
1024.0,2379.9949
2538.0,7025.167
1155.0,1817.991
11332.000000000004,10615.526
1801.0,4034.194
12062.0,20816.48
5567.0,6921.425
6243.0,5532.542
1441.0,1817.5066
952.0,1266.8035
3284.0,1604.1785
8963.0,12123.704
11309.999999999996,10568.356
4630.0,7054.5615
7308.0,12266.669
44303.0,37380.008
32403.0,22553.129
1535.0,4533.4326
88965.0,91439.82
899.0,-911.18475
87113.0,116792.016
1737.0,2101.0144
1003.0,3270.034
14718.0,7579.7764
0.0,5460.702
977.0,2288.8464
1214.0,-344.86835
1314.0,3314.7175
1155.0,2911.819
536.0,-376.01678
69584.0,88416.82
2039.0,3782.5847
9284.0,10789.038
1.0,5951.37
55469.0,29450.342
3865.0,7082.8545
2303.0,5178.823
4765.0,5384.9326
79617.0,135163.17
2390.0,3850.9324
7223.0,16123.692
1296.0,2772.362
1273.0,1924.2917
3089.0,3431.2058
984.0,2024.6941
1550.0,2051.4128
3858.0,6082.3467
152325.0,185846.05
5505.0,6486.948
25094.0,15798.548
1982.0,3968.7996
514.0,-1388.5364
7077.0,12284.394
1902.0,-158.47382
20897.0,26534.082
193523.0,135810.39
3447.0,2583.073
1354.0,1188.4128
10243.000000000004,10275.253
14673.0,21193.34
3042.0,-17.133974
1198.0,3408.5847
1503.0,3952.6082
1893.0,3109.405
10245.0,12559.063
10945.0,14092.198
82828.0,87051.3
1010.0,1520.8113
2434.0,8422.347
12504.000000000004,11429.206
559.0,3471.5535
996.0,1300.0066
205190.0,244151.81
4869.0,3024.78
1389.0,3342.6199
38547.0,37830.367
309690.0,396139.3
1690.0,1911.5027
1681.0,3210.78
8927.0,2673.7605
1991.0,2231.5378
529.0,1664.5339
565.0,3288.2058
2445.0,2215.366
1216.0,2062.323
1420.0,1852.3699
21494.0,19049.75
2215.0,6034.8
1776.0,4979.089
1804.0,4621.714
1214.0,254.67853
802.0,1501.7566
6824.0,509.75275
15889.0,20079.613
32696.0,16881.637
2140.0,3714.448
26490.0,17371.436
143961.0,145306.0
192097.0,244513.08
2037.0,4133.288
12463.000000000004,13749.634
669.0,640.75275
146896.0,147166.08
2840.0,2159.323
290098.0,370285.97
458.0,261.31525
642623.0,592164.0
2790.0,1841.2488
89220.0,106608.586
44844.0,38733.1
93154.0,83157.82
794.0,4155.6787
18959.0,16776.982
814.0,863.18634
11943.0,16246.257
2593.0,6200.675
1883.0,2268.1511
139916.0,225536.2
25481.0,59496.617
1039.0,1301.1042
7050.0,17154.186
13182.0,6849.956
4155.0,3155.159
150516.0,162621.52
6390.0,16185.167
4641.0,6270.835
536.0,1408.9363
4848.0,4192.3896
8343.0,6381.909
47545.0,50297.027
97151.0,65158.09
18501.0,46657.74
1454.0,2592.198
1784.0,2399.3464
2914.0,6348.21
8269.0,18719.695
9613.0,16248.108
22196.0,29489.05
5423.0,6385.796
73.0,-1035.7786
39612.0,44716.453
3242.0,7376.0146
2303.0,4140.0537
1859.0,179.55743
31168.0,22357.436
1333.0,3468.534
137445.0,299365.9
46.0,-291.7121
245662.0,203037.95
3080.0,5980.374
1364.0,1074.5222
1159.0,1356.9597
142375.0,172268.84
28944.0,51222.61
2662.0,1742.0339
590.0,2955.4128
6686.0,8870.093
3686.0,8774.312
2661.0,1079.9988
435310.0,634166.3
98.0,1928.2449
81.0,-387.75116
22907.0,21174.518
1138.0,4752.659
179759.0,139343.58
1335.0,2700.8894
6829.0,5958.659
1723.0,4339.7256
165.0,-141.09491
6496.0,7950.534
677.0,1485.3191
78.0,107.68634
3957.0,8581.765
159554.0,270819.4
41023.0,62923.77
2061.0,251.76837
8854.0,9301.171
1106.0,1247.5652
2886.0,1217.2957
5626.0,10573.5205
1538.0,2940.1628
1008.0,587.7957
12770.0,8315.624
11888.0,11110.304
2954.0,4955.171
30566.0,50341.297
4168.0,4552.4795
3542.0,1663.0652
5915.0,9120.815
80441.0,91222.51
33849.0,29991.105
745.0,1640.1199
476227.00000000006,363332.78
2606.0,1023.51056
9712.0,6993.878
1005.0,2486.0886
1253.0,1842.5261
1496.0,3253.6355
384843.0,363536.62
264013.00000000006,180709.89
4703.0,13540.659
32246.0,31536.42
24092.0,32630.82
98931.0,106995.82
1703.0,-1428.4504
8239.0,9224.339
8418.0,6278.546
7792.0,9358.157
3312.0,3993.9363
29714.0,17486.973
2234.0,4273.366
11470.0,11546.274
18014.0,14865.642
1430.0,2270.9402
124759.0,88214.17
17745.0,14083.511
47150.0,73579.805
12851.000000000004,11650.782
116559.0,134687.64
1007.0,-265.0949
1881.0,4289.7607
1749.0,2221.1472
124604.0,115065.16
10686.0,5905.3
1739.0,1945.112
55554.0,40663.273
2231.0,5060.2334
131136.0,138433.27
4254.0,6036.593
1042.0,4748.6396
1030.0,2795.8152
4106.0,7076.995
4553.0,7113.71
6025.0,2871.53
230533.0,238889.64
9892.0,9391.999
3194.0,4804.542
27753.0,35120.082
49230.0,54287.97
103529.0,158644.66
1113.0,3122.0496
24983.0,45804.406
531.0,998.93634
341139.0,457779.75
102092.0,111080.86
70996.0,87958.65
23523.0,12233.438
1385.0,2205.6238
84276.0,87293.6
493.0,1017.3973
1537.0,3326.5964
730.0,1572.7996
1832.0,6500.5537
4035.0,8352.308
9198.0,5789.0576
4814.0,8605.823
19207.0,32046.234
3878.0,4528.491
694.0,1640.8386
115005.0,123261.6
10915.999999999996,7302.4834
59956.0,49443.125
5600.0,7108.8
181264.0,231487.34
138983.0,102524.81
35470.0,49922.086
1914.0,7792.8584
103.0,732.284
4452.0,5449.839
933.0,3070.8972
2656.0,2093.7722
75807.0,103131.36
808.0,1967.198
45437.0,40876.812
112809.0,90386.766
780.0,1442.5378
88634.0,135307.72
10669.999999999996,10586.866
2965.0,3801.2292
4367.0,2747.5964
0.0,-847.2043
43586.0,20050.922
460905.0,314325.75
3852.0,2596.1199
8137.0,6957.1943
504.0,-2444.5598
133817.0,294637.5
39989.0,54072.227
617.0,6421.5615
152943.0,118491.71
1629.0,5034.6943
4310.0,5632.2764
9118.0,3986.3777
539578.0,375694.6
11752.999999999996,10094.194
9320.999999999996,10022.669
8395.0,5485.5693
1261.0,812.55743
